id,description,category,severity,department,risk_level,reported_date,status,similar_incidents,root_causes,recommendations,impact,urgency
INC-00011,Medium test data leak containing production trade secrets from R&D,Data Leakage,Medium,R&D,Medium,2025-12-30,Resolved,"[{""incident_id"": ""INC-09379"", ""description"": ""Critical test data leak containing production medical records from Security..."", ""relevance"": 0.76}, {""incident_id"": ""INC-08144"", ""description"": ""Critical IoT device leak transmitting R&D medical records..."", ""relevance"": 0.79}, {""incident_id"": ""INC-02146"", ""description"": ""Medium Source code leak exposing Sales financial records..."", ""relevance"": 0.88}, {""incident_id"": ""INC-05920"", ""description"": ""Medium Session recording leak with Marketing user trade secrets..."", ""relevance"": 0.8}, {""incident_id"": ""INC-05844"", ""description"": ""High printed documents containing authentication credentials left unattended in Marketing..."", ""relevance"": 0.87}]","[""Weak data access controls"", ""Poor data governance framework"", ""Unsanctioned cloud service usage"", ""API security and authentication gaps"", ""Print and document handling vulnerabilities""]","[""Conduct comprehensive forensic investigation"", ""Implement emergency security controls"", ""Deploy security information and event management"", ""Conduct vulnerability assessment"", ""Implement data loss prevention tools"", ""Review access control lists and permissions""]",Medium,Immediate
INC-00012,Low backup system failure in Security infrastructure,System Failure,Low,Legal,Low,2026-02-20,Closed,"[{""incident_id"": ""INC-05649"", ""description"": ""Medium server failure affecting Legal file sharing..."", ""relevance"": 0.76}, {""incident_id"": ""INC-04262"", ""description"": ""High email server crash causing productivity loss in IT..."", ""relevance"": 0.85}]","[""Load balancing configuration errors"", ""CPU resource contention"", ""Network connectivity issues"", ""Database connection pooling issues"", ""Power supply instability""]","[""Review and strengthen backup procedures"", ""Deploy endpoint detection and response"", ""Establish continuous monitoring program"", ""Deploy additional monitoring solutions"", ""Review third-party vendor security""]",Medium,High
INC-00013,Low wireless network outage in HR office floor,Network,Low,Marketing,Low,2025-09-02,Resolved,"[{""incident_id"": ""INC-06198"", ""description"": ""Low Spanning tree protocol failure in R&D switches..."", ""relevance"": 0.81}, {""incident_id"": ""INC-09976"", ""description"": ""Low VPN gateway failure preventing Customer Service remote access..."", ""relevance"": 0.81}, {""incident_id"": ""INC-05050"", ""description"": ""Medium Network time protocol failure affecting R&D systems..."", ""relevance"": 0.82}, {""incident_id"": ""INC-04919"", ""description"": ""Medium network monitoring blind spots in Finance segment..."", ""relevance"": 0.88}, {""incident_id"": ""INC-04841"", ""description"": ""Medium network segmentation failure exposing Sales cloud storage..."", ""relevance"": 0.72}, {""incident_id"": ""INC-03471"", ""description"": ""High CDN failure impacting HR web services..."", ""relevance"": 0.72}]","[""Firewall rule misconfigurations"", ""Network time synchronization issues"", ""Network access control gaps"", ""Physical network security gaps"", ""Bandwidth management deficiencies""]","[""Conduct comprehensive forensic investigation"", ""Establish regular security audits"", ""Engage external security consultants"", ""Implement emergency security controls"", ""Implement network segmentation"", ""Review and update security policies"", ""Conduct tabletop exercises for incident response""]",Low,Low
INC-00014,High proxy server failure blocking Marketing internet access,Network,High,Legal,High,2025-10-13,Resolved,"[{""incident_id"": ""INC-09818"", ""description"": ""High DHCP exhaustion in Legal network..."", ""relevance"": 0.77}, {""incident_id"": ""INC-08956"", ""description"": ""Critical CDN failure impacting Sales printing services..."", ""relevance"": 0.88}, {""incident_id"": ""INC-08657"", ""description"": ""High Spanning tree protocol failure in R&D switches..."", ""relevance"": 0.71}, {""incident_id"": ""INC-07455"", ""description"": ""Critical DNS resolution failure for Marketing web services..."", ""relevance"": 0.92}, {""incident_id"": ""INC-03977"", ""description"": ""Critical packet loss affecting Marketing file sharing..."", ""relevance"": 0.75}]","[""Network device firmware vulnerabilities"", ""Outdated network equipment"", ""Traffic prioritization failures"", ""VPN concentrator capacity issues"", ""Load balancer configuration errors""]","[""Implement data loss prevention tools"", ""Update all software and security patches"", ""Review and update disaster recovery plans"", ""Establish incident response procedures""]",Medium,Medium
INC-00015,Medium DHCP exhaustion in IT network,Network,Medium,Finance,Medium,2026-01-03,Open,"[{""incident_id"": ""INC-03496"", ""description"": ""High firewall misconfiguration blocking Customer Service email services..."", ""relevance"": 0.84}, {""incident_id"": ""INC-04571"", ""description"": ""Low Traffic shaping misconfiguration affecting Operations..."", ""relevance"": 0.89}]","[""Network device firmware vulnerabilities"", ""Insufficient network redundancy"", ""Traffic prioritization failures"", ""VPN concentrator capacity issues"", ""Outdated network equipment""]","[""Review and update disaster recovery plans"", ""Immediate containment and isolation of affected systems"", ""Engage external security consultants"", ""Conduct security awareness training""]",High,Medium
INC-00016,Low credential stuffing attack on Security file server,Security,Low,IT,Low,2025-12-11,Resolved,"[{""incident_id"": ""INC-08018"", ""description"": ""Medium phishing attack targeting R&D employees via social media..."", ""relevance"": 0.79}, {""incident_id"": ""INC-07882"", ""description"": ""Low data breach exposing trade secrets in Marketing..."", ""relevance"": 0.86}, {""incident_id"": ""INC-08532"", ""description"": ""High brute force attack on HR authentication system..."", ""relevance"": 0.88}, {""incident_id"": ""INC-05425"", ""description"": ""Low privilege escalation in Marketing web application by compromised account..."", ""relevance"": 0.91}, {""incident_id"": ""INC-02419"", ""description"": ""Medium privilege escalation in Legal intranet portal by contractor..."", ""relevance"": 0.85}, {""incident_id"": ""INC-07209"", ""description"": ""Medium ransomware attack encrypting Customer Service department email systems..."", ""relevance"": 0.75}]","[""Shadow IT and unsanctioned applications"", ""Unpatched software vulnerabilities"", ""Inadequate access control mechanisms"", ""Weak password policies"", ""Lack of multi-factor authentication""]","[""Review third-party vendor security"", ""Deploy security information and event management"", ""Implement emergency security controls"", ""Implement privileged access management"", ""Conduct comprehensive forensic investigation"", ""Implement data loss prevention tools""]",Medium,Medium
INC-00017,Critical Search index corruption in Operations ERP system,System Failure,Critical,Security,High,2025-06-21,Resolved,"[{""incident_id"": ""INC-02524"", ""description"": ""Medium memory leak causing system downtime in Marketing email server..."", ""relevance"": 0.87}, {""incident_id"": ""INC-07046"", ""description"": ""Low Container orchestration failure affecting R&D services..."", ""relevance"": 0.79}]","[""Service dependency failures"", ""Lack of automated monitoring"", ""Software bugs and coding errors"", ""Inadequate testing procedures"", ""CPU resource contention""]","[""Establish regular security audits"", ""Engage external security consultants"", ""Implement data classification framework"", ""Deploy endpoint detection and response"", ""Conduct tabletop exercises for incident response"", ""Review third-party vendor security"", ""Implement network segmentation""]",Medium,Low
INC-00018,High removable media loss with Finance medical records,Data Leakage,High,Operations,High,2025-11-22,Open,"[{""incident_id"": ""INC-05636"", ""description"": ""Critical printed documents containing medical records left unattended in Operations..."", ""relevance"": 0.79}, {""incident_id"": ""INC-05952"", ""description"": ""Critical Chat transcript leak from R&D HR management system..."", ""relevance"": 0.77}, {""incident_id"": ""INC-01893"", ""description"": ""Medium Chat transcript leak from HR intranet portal..."", ""relevance"": 0.73}, {""incident_id"": ""INC-01200"", ""description"": ""Medium mobile app data leak from Customer Service intranet portal..."", ""relevance"": 0.79}, {""incident_id"": ""INC-01841"", ""description"": ""Medium mobile app data leak from Finance CRM platform..."", ""relevance"": 0.8}, {""incident_id"": ""INC-02213"", ""description"": ""Critical cloud storage misconfiguration exposing HR payment information..."", ""relevance"": 0.72}]","[""Email security gateway gaps"", ""Inadequate data classification"", ""Insufficient data anonymization"", ""Insufficient vendor oversight"", ""Missing data handling procedures""]","[""Establish continuous monitoring program"", ""Deploy endpoint detection and response"", ""Implement multi-factor authentication"", ""Implement privileged access management"", ""Review and update disaster recovery plans""]",Low,Low
INC-00019,Medium wireless network outage in R&D production floor,Network,Medium,Security,Medium,2025-11-05,Closed,"[{""incident_id"": ""INC-05335"", ""description"": ""Critical VPN gateway failure preventing Legal remote access..."", ""relevance"": 0.74}, {""incident_id"": ""INC-02229"", ""description"": ""High network outage affecting Marketing printing services..."", ""relevance"": 0.87}, {""incident_id"": ""INC-08699"", ""description"": ""Medium bandwidth saturation in Legal network segment..."", ""relevance"": 0.77}]","[""Network access control gaps"", ""Cloud connectivity reliability issues"", ""Firewall rule misconfigurations"", ""Network time synchronization issues"", ""Routing protocol instabilities""]","[""Implement privileged access management"", ""Deploy security information and event management"", ""Conduct comprehensive forensic investigation"", ""Establish continuous monitoring program"", ""Implement emergency security controls"", ""Conduct security awareness training""]",High,High
INC-00020,High SOX compliance failure in R&D financial reporting,Compliance,High,Marketing,High,2025-09-01,Resolved,"[{""incident_id"": ""INC-05728"", ""description"": ""Low SOX compliance failure in Customer Service financial reporting..."", ""relevance"": 0.87}, {""incident_id"": ""INC-07594"", ""description"": ""Medium vendor compliance issue affecting R&D..."", ""relevance"": 0.82}, {""incident_id"": ""INC-02317"", ""description"": ""Critical consent management failure in Sales web application..."", ""relevance"": 0.71}, {""incident_id"": ""INC-04750"", ""description"": ""Critical intellectual property compliance issue in Operations..."", ""relevance"": 0.84}, {""incident_id"": ""INC-03870"", ""description"": ""Low vendor compliance issue affecting Customer Service..."", ""relevance"": 0.93}, {""incident_id"": ""INC-03973"", ""description"": ""Low licensing violation for Customer Service ERP software..."", ""relevance"": 0.82}]","[""Data subject rights process deficiencies"", ""Lack of regular compliance assessments"", ""Breach notification procedure gaps"", ""Certification and attestation gaps"", ""Insufficient audit trail documentation""]","[""Deploy additional monitoring solutions"", ""Update all software and security patches"", ""Deploy security information and event management"", ""Establish continuous monitoring program""]",Medium,Immediate
INC-00021,Low API response leak exposing Marketing customer PII,Data Leakage,Low,Customer Service,Low,2025-06-20,In Progress,"[{""incident_id"": ""INC-08569"", ""description"": ""Low unauthorized trade secrets access by contractor in Legal..."", ""relevance"": 0.89}, {""incident_id"": ""INC-08242"", ""description"": ""Critical printed documents containing employee data left unattended in Operations..."", ""relevance"": 0.93}, {""incident_id"": ""INC-08178"", ""description"": ""Low third-party vendor leak of IT medical records..."", ""relevance"": 0.88}, {""incident_id"": ""INC-06091"", ""description"": ""Critical Log file exposure containing Marketing sensitive data..."", ""relevance"": 0.72}, {""incident_id"": ""INC-02858"", ""description"": ""Low third-party vendor leak of HR proprietary data..."", ""relevance"": 0.93}, {""incident_id"": ""INC-05781"", ""description"": ""Medium developer environment leak of Customer Service proprietary data..."", ""relevance"": 0.76}]","[""Removable media control deficiencies"", ""Insufficient data encryption"", ""Shadow data storage locations"", ""Inadequate employee training on data protection"", ""Cross-border data transfer violations""]","[""Review and update disaster recovery plans"", ""Establish incident response procedures"", ""Review and strengthen backup procedures"", ""Immediate containment and isolation of affected systems""]",Medium,High
INC-00022,High inadequate segregation of duties in Marketing payment handling,Compliance,High,Finance,High,2026-02-06,Closed,"[{""incident_id"": ""INC-09824"", ""description"": ""Low privacy policy non-compliance by Sales reporting..."", ""relevance"": 0.89}, {""incident_id"": ""INC-07180"", ""description"": ""Low data retention policy violation in Legal..."", ""relevance"": 0.95}, {""incident_id"": ""INC-04912"", ""description"": ""Low expired certification for Marketing ERP system..."", ""relevance"": 0.78}, {""incident_id"": ""INC-08749"", ""description"": ""Low regulatory reporting delay from HR..."", ""relevance"": 0.82}, {""incident_id"": ""INC-01606"", ""description"": ""High vendor compliance issue affecting Security..."", ""relevance"": 0.78}]","[""Continuous monitoring program inadequacies"", ""Whistleblower program deficiencies"", ""Vendor due diligence inadequacies"", ""Third-party compliance management failures"", ""Inadequate compliance monitoring""]","[""Establish continuous monitoring program"", ""Update all software and security patches"", ""Implement privileged access management"", ""Implement data classification framework"", ""Deploy endpoint detection and response"", ""Review and update security policies""]",High,Low
INC-00023,Medium developer environment leak of HR financial records,Data Leakage,Medium,HR,Medium,2026-02-17,Closed,"[{""incident_id"": ""INC-09864"", ""description"": ""Critical Source code leak exposing Finance medical records..."", ""relevance"": 0.86}, {""incident_id"": ""INC-05708"", ""description"": ""High Video conference recording leak of Finance authentication credentials..."", ""relevance"": 0.94}, {""incident_id"": ""INC-02646"", ""description"": ""Low email misdirection of customer PII from Operations..."", ""relevance"": 0.71}, {""incident_id"": ""INC-01919"", ""description"": ""Medium analytics data exposure revealing Sales authentication credentials..."", ""relevance"": 0.74}, {""incident_id"": ""INC-09702"", ""description"": ""Low Error message leak revealing HR system information..."", ""relevance"": 0.74}]","[""Data retention policy non-compliance"", ""Print and document handling vulnerabilities"", ""Database security configuration weaknesses"", ""Privileged user monitoring gaps"", ""Data backup security weaknesses""]","[""Conduct tabletop exercises for incident response"", ""Notify all affected stakeholders immediately"", ""Review access control lists and permissions"", ""Review third-party vendor security"", ""Establish regular security audits"", ""Establish incident response procedures"", ""Implement data classification framework""]",Low,High
INC-00024,Low firewall misconfiguration blocking Legal printing services,Network,Low,Security,Low,2025-04-26,In Progress,"[{""incident_id"": ""INC-05901"", ""description"": ""Low Traffic shaping misconfiguration affecting Operations..."", ""relevance"": 0.81}, {""incident_id"": ""INC-05949"", ""description"": ""High CDN failure impacting Customer Service email services..."", ""relevance"": 0.76}, {""incident_id"": ""INC-06881"", ""description"": ""Medium Traffic shaping misconfiguration affecting Operations..."", ""relevance"": 0.71}, {""incident_id"": ""INC-07484"", ""description"": ""Medium network outage affecting Security email services..."", ""relevance"": 0.93}, {""incident_id"": ""INC-09138"", ""description"": ""Medium Network time protocol failure affecting Legal systems..."", ""relevance"": 0.85}, {""incident_id"": ""INC-06772"", ""description"": ""High Port channel misconfiguration in Legal web application..."", ""relevance"": 0.87}]","[""Wireless security weaknesses"", ""Load balancer configuration errors"", ""Physical network security gaps"", ""Bandwidth management deficiencies"", ""Network architecture design flaws""]","[""Update all software and security patches"", ""Review third-party vendor security"", ""Establish regular security audits"", ""Deploy additional monitoring solutions"", ""Notify all affected stakeholders immediately"", ""Implement network segmentation"", ""Implement data loss prevention tools""]",Low,Immediate
INC-00025,Medium malware infection detected on Security printer,Security,Medium,Customer Service,Medium,2025-09-20,Open,"[{""incident_id"": ""INC-03695"", ""description"": ""Medium data exfiltration from Operations email systems via phishing..."", ""relevance"": 0.82}, {""incident_id"": ""INC-02233"", ""description"": ""High keylogger discovered on Legal router..."", ""relevance"": 0.94}, {""incident_id"": ""INC-06992"", ""description"": ""Critical man-in-the-middle attack intercepting IT communications..."", ""relevance"": 0.77}, {""incident_id"": ""INC-03024"", ""description"": ""Low cross-site scripting attack on Operations file server..."", ""relevance"": 0.91}]","[""Data classification failures"", ""Missing endpoint protection solutions"", ""Outdated security policies and procedures"", ""Insufficient monitoring and detection"", ""Third-party security risks""]","[""Deploy additional monitoring solutions"", ""Conduct security awareness training"", ""Review and update security policies"", ""Establish regular security audits"", ""Implement data loss prevention tools"", ""Review and strengthen backup procedures"", ""Deploy security information and event management""]",Low,High
INC-00026,High social engineering attack on Sales all employees,Security,High,Security,High,2025-07-22,Closed,"[{""incident_id"": ""INC-04846"", ""description"": ""High man-in-the-middle attack intercepting Customer Service communications..."", ""relevance"": 0.79}, {""incident_id"": ""INC-09850"", ""description"": ""Low cryptojacking malware found on HR router..."", ""relevance"": 0.86}]","[""Lack of regular security assessments"", ""Poor network segmentation"", ""Encryption implementation gaps"", ""Social engineering susceptibility"", ""Inadequate incident response planning""]","[""Implement emergency security controls"", ""Review and update security policies"", ""Conduct comprehensive forensic investigation"", ""Implement data classification framework"", ""Update all software and security patches"", ""Deploy endpoint detection and response"", ""Review and update disaster recovery plans""]",Medium,Immediate
INC-00027,Medium virtualization platform crash affecting Customer Service VMs,System Failure,Medium,Legal,Medium,2026-01-14,In Progress,"[{""incident_id"": ""INC-03001"", ""description"": ""Low server failure affecting Legal VPN access..."", ""relevance"": 0.94}, {""incident_id"": ""INC-01828"", ""description"": ""Medium memory leak causing service disruption in HR email server..."", ""relevance"": 0.91}, {""incident_id"": ""INC-04394"", ""description"": ""High memory leak causing financial loss in Sales HR management system..."", ""relevance"": 0.7}]","[""Insufficient redundancy in design"", ""Auto-scaling threshold misconfigurations"", ""Environmental factors affecting hardware"", ""Inadequate capacity planning"", ""Database connection pooling issues""]","[""Establish regular security audits"", ""Conduct tabletop exercises for incident response"", ""Implement data loss prevention tools"", ""Conduct comprehensive forensic investigation"", ""Establish incident response procedures"", ""Implement multi-factor authentication""]",Low,Medium
INC-00028,Critical ransomware attack encrypting Sales department laptops,Security,Critical,HR,High,2025-08-23,Open,"[{""incident_id"": ""INC-02041"", ""description"": ""Low privilege escalation in Sales CRM platform by malicious employee..."", ""relevance"": 0.83}, {""incident_id"": ""INC-01710"", ""description"": ""Medium privilege escalation in IT ERP system by malicious employee..."", ""relevance"": 0.91}]","[""Insider threat detection blind spots"", ""Privilege escalation vulnerabilities"", ""Insufficient security awareness training"", ""Security misconfigurations"", ""Bring-your-own-device policy gaps""]","[""Review and update security policies"", ""Establish continuous monitoring program"", ""Conduct vulnerability assessment"", ""Review and strengthen backup procedures""]",Medium,Low
INC-00029,Critical network segmentation failure exposing Security workstations,Network,Critical,Finance,High,2025-08-25,Open,"[{""incident_id"": ""INC-04522"", ""description"": ""Low network monitoring blind spots in Legal segment..."", ""relevance"": 0.8}, {""incident_id"": ""INC-08430"", ""description"": ""Low proxy server failure blocking Finance internet access..."", ""relevance"": 0.78}, {""incident_id"": ""INC-06120"", ""description"": ""Medium BGP routing issue affecting HR connectivity..."", ""relevance"": 0.87}, {""incident_id"": ""INC-08770"", ""description"": ""Critical DNS resolution failure for Finance email services..."", ""relevance"": 0.81}, {""incident_id"": ""INC-07105"", ""description"": ""High MAC address spoofing detected in IT network..."", ""relevance"": 0.85}, {""incident_id"": ""INC-06400"", ""description"": ""Critical proxy server failure blocking Sales internet access..."", ""relevance"": 0.92}]","[""Poor network monitoring capabilities"", ""Inadequate network segmentation"", ""DDoS protection inadequacies"", ""DNS infrastructure vulnerabilities"", ""Proxy server misconfigurations""]","[""Implement network segmentation"", ""Review and strengthen backup procedures"", ""Deploy security information and event management"", ""Conduct vulnerability assessment"", ""Implement emergency security controls"", ""Conduct tabletop exercises for incident response""]",Medium,Medium
INC-00030,High vendor compliance issue affecting Legal,Compliance,High,Security,High,2026-03-03,In Progress,"[{""incident_id"": ""INC-01430"", ""description"": ""Medium GDPR compliance violation in HR payment handling..."", ""relevance"": 0.88}, {""incident_id"": ""INC-06062"", ""description"": ""Medium privacy policy non-compliance by IT customer onboarding..."", ""relevance"": 0.92}, {""incident_id"": ""INC-07566"", ""description"": ""Critical ISO 27001 requirement not met in IT office floor..."", ""relevance"": 0.89}, {""incident_id"": ""INC-04524"", ""description"": ""Low consent management failure in Customer Service database..."", ""relevance"": 0.74}, {""incident_id"": ""INC-06105"", ""description"": ""Medium intellectual property compliance issue in Security..."", ""relevance"": 0.85}]","[""Inadequate staff training on compliance"", ""Segregation of duties failures"", ""Consent management system failures"", ""Internal control design weaknesses"", ""Missing regulatory framework implementation""]","[""Establish regular security audits"", ""Implement data loss prevention tools"", ""Implement emergency security controls"", ""Implement multi-factor authentication"", ""Implement privileged access management"", ""Engage external security consultants""]",High,Immediate
